#   Eu     tau_cool[s]
   22.5232937706246937088094019260407861         1615506.01859892106471835476075374881      
   28.3775719345761206604073620231199991         696214.333045645551718248696617878883      
   35.7535002252784329183143246187243719         307226.976707725430136550518365267147      
   43.0855109925710788463172074930769952         162276.545265492691785932858926870526      
   46.8503390141221496074889290602766737         122791.265269185120928901998255496759      
   50.0913569199132064021241473954342319         98674.5673124618417954945867204848618      
   52.9598019245946966496610353343419941         82493.1643433236691030330921807413411      
   55.5472190508068813255213068101412633         70919.0367740169637363570792265906216      
   57.9137306333945860139341384620578997         62247.3931578899329027231577398556052      
   60.1011942321836430153673402953079816         55517.7066421102486628296580645013397      
   62.1400597155107588962645289333802747         50148.8987020952144691002636312311095      
   64.0532514317760260595288313557865455         45769.4327536031616295144790313375264      
   65.8585105082859526725821098261649340         42131.0353489773738670228475728680328      
   67.5698813118740811264282057781223459         39061.6518846664484192241181253123426      
   69.1986944213554773111151224695232418         36438.3842476758095706085889453303975      
   70.7542392791679983902449562606715113         34171.1910322458924648131948045901213      
   72.2442379938598493698311204525951048         32192.6036306657733318766321911073613      
   73.6751874475709650958849821323999390         30451.1140245511627422667722906047101      
   75.0526116735167813358994931987404824         28906.7312280663801780522008917750308      
   76.3812515693121607049681117898385113         27527.9438062602086493784598917248929      
   77.1450640850052829904195860432307469         157014.807311835560268180723422474658      
   81.9919290352902693157299243999315061         136114.233557256074348767513528749561      
   87.1433124939844961982803891099899361         118645.378745878283109452415747758485      
   92.6183467296605254291850149735562721         104002.354365342504967953907040475610      
   98.4373660517870363902495062958414187         91692.5434314794118494639762584713047      
   104.621982332474219664109153711358902         81314.5196282918674219967533957728574      
   111.195165273094362261242429753542835         72540.3711994078070696476647885404138      
   118.181327713888327105621095206874184         65101.5638777379811605084925896957588      
   125.606416303398308799169451279853438         58777.5918431290830094061557201289349      
   133.498007864473674112647687055428902         53386.8502270408867306275166451082654      
   141.885411814753801712299896234974118         48779.2917151746497269460872065718863      
   150.799779022018198944413161299996785         44830.4971768400153007932256297366332      
   160.274217498693308549893709188077673         41436.8926072891883354908901878877139      
   170.343915365206086496724042265113855         38511.8858304182670274596472961493186      
   181.046271538870971931777899831308973         35982.7438993070676759019029087469600      
   192.421034633689546873157620143330750         33788.0753584891353841846649375075271      
   204.510450586937561460310178055447535         31875.8064817650019642315480047608707      
   217.359419560825340366298632086622794         30201.5641849602655367816602140790257      
