#   Eu     tau_cool[s]
  2.767E+01  8.879E+03
  2.918E+01  7.303E+03
  3.199E+01  5.221E+03
  3.578E+01  3.480E+03
  3.811E+01  2.778E+03
  4.029E+01  2.278E+03
  4.237E+01  1.909E+03
  4.435E+01  1.627E+03
  4.624E+01  1.407E+03
  4.806E+01  1.231E+03
  4.981E+01  1.089E+03
  5.151E+01  9.714E+02
  5.314E+01  8.735E+02
  5.473E+01  7.910E+02
  5.628E+01  7.206E+02
  5.778E+01  6.601E+02
  5.925E+01  6.076E+02
  6.068E+01  5.618E+02
  6.208E+01  5.215E+02
  6.344E+01  4.858E+02
  6.408E+01  5.126E+03
  6.637E+01  4.687E+03
  6.874E+01  4.292E+03
  7.120E+01  3.936E+03
  7.375E+01  3.616E+03
  7.639E+01  3.327E+03
  7.912E+01  3.066E+03
  8.195E+01  2.830E+03
  8.488E+01  2.616E+03
  8.791E+01  2.422E+03
  9.105E+01  2.247E+03
  9.431E+01  2.088E+03
  9.768E+01  1.943E+03
  1.012E+02  1.812E+03
  1.048E+02  1.692E+03
  1.085E+02  1.583E+03
  1.124E+02  1.483E+03
  1.164E+02  1.392E+03
  1.206E+02  1.308E+03
  1.249E+02  1.232E+03
  1.294E+02  1.162E+03
  1.340E+02  1.098E+03
  1.388E+02  1.039E+03
  1.438E+02  9.843E+02
  1.489E+02  9.343E+02
  1.542E+02  8.881E+02
  1.598E+02  8.455E+02
  1.655E+02  8.061E+02
  1.714E+02  7.696E+02
  1.775E+02  7.358E+02
  1.839E+02  7.043E+02
  1.904E+02  6.751E+02
  1.972E+02  6.478E+02
  2.043E+02  6.224E+02
  2.116E+02  5.986E+02
  2.192E+02  5.763E+02
  2.270E+02  5.554E+02
  2.351E+02  5.357E+02
  2.435E+02  5.171E+02
  2.522E+02  4.995E+02
  2.613E+02  4.829E+02
  2.706E+02  4.671E+02
  2.803E+02  4.520E+02
  2.903E+02  4.377E+02
  3.007E+02  4.240E+02
  3.114E+02  4.109E+02
  3.226E+02  3.982E+02
  3.341E+02  3.861E+02
  3.461E+02  3.744E+02
  3.584E+02  3.631E+02
  3.712E+02  3.522E+02
  3.845E+02  3.416E+02
  3.983E+02  3.313E+02
  4.125E+02  3.214E+02
  4.273E+02  3.118E+02
  4.425E+02  3.025E+02
  4.584E+02  2.934E+02
  4.748E+02  2.846E+02
  4.917E+02  2.760E+02
  5.093E+02  2.677E+02
  5.275E+02  2.596E+02
  5.464E+02  2.517E+02
  5.659E+02  2.441E+02
  5.862E+02  2.366E+02
  6.071E+02  2.294E+02
  6.289E+02  2.224E+02
  6.513E+02  2.155E+02
  6.746E+02  2.089E+02
  6.988E+02  2.025E+02
  7.237E+02  1.962E+02
  7.496E+02  1.901E+02
  7.764E+02  1.842E+02
  8.042E+02  1.784E+02
  8.330E+02  1.728E+02
  8.627E+02  1.674E+02
  8.936E+02  1.621E+02
  9.255E+02  1.570E+02
  9.586E+02  1.520E+02
  9.929E+02  1.472E+02
  1.028E+03  1.425E+02
  1.065E+03  1.380E+02
  1.103E+03  1.335E+02
  1.143E+03  1.292E+02
  1.184E+03  1.251E+02
  1.226E+03  1.210E+02
  1.270E+03  1.171E+02
  1.315E+03  1.133E+02
  1.362E+03  1.096E+02
  1.411E+03  1.060E+02
  1.461E+03  1.026E+02
  1.514E+03  9.920E+01
  1.568E+03  9.593E+01
  1.624E+03  9.275E+01
  1.682E+03  8.968E+01
  1.742E+03  8.669E+01
  1.804E+03  8.380E+01
  1.869E+03  8.100E+01
  1.936E+03  7.828E+01
  2.005E+03  7.564E+01
  2.077E+03  7.309E+01
  2.151E+03  7.061E+01
  2.228E+03  6.821E+01
  2.307E+03  6.589E+01
  2.390E+03  6.363E+01
  2.475E+03  6.145E+01
  2.564E+03  5.933E+01
  2.656E+03  5.729E+01
  2.751E+03  5.530E+01
  2.849E+03  5.338E+01
  2.951E+03  5.152E+01
  3.056E+03  4.971E+01
  3.166E+03  4.797E+01
  3.279E+03  4.628E+01
  3.396E+03  4.464E+01
  3.518E+03  4.306E+01
  3.643E+03  4.153E+01
  3.774E+03  4.004E+01
  3.909E+03  3.861E+01
  4.048E+03  3.722E+01
  4.193E+03  3.588E+01
  4.343E+03  3.458E+01
  4.498E+03  3.332E+01
  4.659E+03  3.210E+01
  4.826E+03  3.093E+01
  4.998E+03  2.979E+01
  5.177E+03  2.869E+01
  5.362E+03  2.763E+01
  5.554E+03  2.660E+01
  5.753E+03  2.561E+01
  5.958E+03  2.465E+01
  6.171E+03  2.373E+01
  6.392E+03  2.283E+01
  6.621E+03  2.197E+01
  6.857E+03  2.113E+01
  7.103E+03  2.032E+01
  7.357E+03  1.954E+01
  7.620E+03  1.879E+01
  7.892E+03  1.806E+01
  8.174E+03  1.736E+01
  8.467E+03  1.668E+01
  8.770E+03  1.603E+01
  9.083E+03  1.540E+01
  9.408E+03  1.479E+01
  9.744E+03  1.420E+01
  1.009E+04  1.363E+01
  1.045E+04  1.308E+01
  1.083E+04  1.255E+01
  1.121E+04  1.204E+01
  1.162E+04  1.155E+01
  1.203E+04  1.107E+01
  1.246E+04  1.061E+01
  1.291E+04  1.017E+01
  1.337E+04  9.746E+00
  1.385E+04  9.335E+00
  1.434E+04  8.939E+00
  1.485E+04  8.556E+00
  1.539E+04  8.188E+00
  1.594E+04  7.833E+00
  1.651E+04  7.492E+00
  1.710E+04  7.162E+00
  1.771E+04  6.845E+00
  1.834E+04  6.540E+00
  1.900E+04  6.247E+00
  1.968E+04  5.964E+00
  2.038E+04  5.692E+00
  2.111E+04  5.431E+00
  2.186E+04  5.180E+00
  2.264E+04  4.939E+00
  2.345E+04  4.707E+00
  2.429E+04  4.485E+00
  2.516E+04  4.271E+00
  2.606E+04  4.067E+00
  2.699E+04  3.870E+00
  2.796E+04  3.683E+00
  2.896E+04  3.503E+00
  2.999E+04  3.331E+00
  3.107E+04  3.166E+00
  3.218E+04  3.009E+00
  3.333E+04  2.858E+00
  3.452E+04  2.715E+00
  3.576E+04  2.578E+00
  3.703E+04  2.447E+00
  3.836E+04  2.323E+00
  3.973E+04  2.205E+00
  4.115E+04  2.092E+00
  4.262E+04  1.985E+00
  4.415E+04  1.883E+00
  4.572E+04  1.786E+00
  4.736E+04  1.694E+00
  4.905E+04  1.607E+00
  5.081E+04  1.524E+00
  5.262E+04  1.446E+00
  5.451E+04  1.371E+00
  5.646E+04  1.301E+00
  5.847E+04  1.234E+00
  6.057E+04  1.171E+00
  6.273E+04  1.112E+00
  6.497E+04  1.055E+00
  6.730E+04  1.002E+00
  6.970E+04  9.514E-01
  7.220E+04  9.037E-01
  7.478E+04  8.587E-01
  7.745E+04  8.162E-01
  8.022E+04  7.761E-01
  8.309E+04  7.382E-01
  8.606E+04  7.024E-01
  8.914E+04  6.686E-01
  9.233E+04  6.367E-01
  9.563E+04  6.065E-01
  9.905E+04  5.781E-01
  1.026E+05  5.512E-01
  1.063E+05  5.257E-01
  1.101E+05  5.017E-01
  1.140E+05  4.790E-01
  1.181E+05  4.575E-01
  1.223E+05  4.372E-01
  1.267E+05  4.180E-01
  1.312E+05  3.998E-01
  1.359E+05  3.826E-01
  1.407E+05  3.662E-01
  1.458E+05  3.507E-01
  1.510E+05  3.360E-01
  1.564E+05  3.221E-01
  1.620E+05  3.088E-01
  1.678E+05  2.962E-01
  1.738E+05  2.843E-01
  1.800E+05  2.728E-01
  1.864E+05  2.620E-01
  1.931E+05  2.516E-01
  2.000E+05  2.417E-01
